Comment,Designator ,Footprint,LCSC Part#
1k,"R7, R10, R19, R28, R37, R46",0805,C17513
"2,7k","R3, R9, R11, R13, R20, R22, R29, R31, R38, R40, R47, R49",0805,C17530
"5,1k","R4, R8, R17, R18, R26, R27, R35, R36, R44, R45, R53, R54",0805,C27834
"5,6k","R5, R15, R24, R33, R42, R51",0805,C4382
10k,"R2, R14, R23, R32, R41, R50",0805,C17414
47k,"R1, R12, R21, R30, R39, R48",0805,C17713
68k,"R6, R16, R25, R34, R43, R52",0805,C17801
1uF,"C2, C7, C13, C19, C25, C31",0805,C28323
10uF,"C1, C3, C4, C5, C6, C8, C9, C10, C11, C12, C14, C15, C16, C17, C18, C20, C21, C22, C23, C24, C26, C27, C28, C29, C30, C32, C33, C34, C35, C36",0805,C15850
BL8536,"IC1, IC4, IC6, IC8, IC10, IC12",SOT23-3,C97793
CN3085,"IC2, IC3, IC5, IC7, IC9, IC11",SOP8,C93054
HC-TYPE-C-6P-01QT,"X2, X4, X6, X8, X10, X12",HC-TYPE-C-6P-01QT,C2894895
K3-1296S-E2,"SW1, SW2, SW3, SW4, SW5, SW6",K3-1296S-E2,C136659
LSG-T676,"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",,