Designator,Mid X,Mid Y,Layer,Rotation
R7,39.29,8.37,Bottom,0.00
R10,90.29,8.37,Bottom,0.00
R19,39.29,34.37,Bottom,0.00
R28,90.29,34.37,Bottom,0.00
R37,39.29,60.37,Bottom,0.00
R46,90.29,60.37,Bottom,0.00
R3,16.75,15.04,Bottom,180.00
R9,21.19,3.93,Bottom,0.00
R11,72.19,3.93,Bottom,0.00
R13,67.75,15.04,Bottom,180.00
R20,21.19,29.93,Bottom,0.00
R22,16.75,41.04,Bottom,180.00
R29,72.19,29.93,Bottom,0.00
R31,67.75,41.04,Bottom,180.00
R38,21.19,55.93,Bottom,0.00
R40,16.75,67.04,Bottom,180.00
R47,72.19,55.93,Bottom,0.00
R49,67.75,67.04,Bottom,180.00
R4,34.52,11.87,Bottom,180.00
R8,34.52,8.69,Bottom,180.00
R17,85.53,11.87,Bottom,180.00
R18,85.53,8.69,Bottom,180.00
R26,34.52,37.87,Bottom,180.00
R27,34.52,34.69,Bottom,180.00
R35,85.53,37.87,Bottom,180.00
R36,85.53,34.69,Bottom,180.00
R44,34.52,63.87,Bottom,180.00
R45,34.52,60.69,Bottom,180.00
R53,85.53,63.87,Bottom,180.00
R54,85.53,60.69,Bottom,180.00
R5,30.08,11.87,Bottom,0.00
R15,81.08,11.87,Bottom,0.00
R24,30.08,37.87,Bottom,0.00
R33,81.08,37.87,Bottom,0.00
R42,30.08,63.87,Bottom,0.00
R51,81.08,63.87,Bottom,0.00
R2,21.19,15.04,Bottom,180.00
R14,72.19,15.04,Bottom,180.00
R23,21.19,41.04,Bottom,180.00
R32,72.19,41.04,Bottom,180.00
R41,21.19,67.04,Bottom,180.00
R50,72.19,67.04,Bottom,180.00
R1,30.08,15.04,Bottom,0.00
R12,81.08,15.04,Bottom,0.00
R21,30.08,41.04,Bottom,0.00
R30,81.08,41.04,Bottom,0.00
R39,30.08,67.04,Bottom,0.00
R48,81.08,67.04,Bottom,0.00
R6,25.64,11.87,Bottom,0.00
R16,76.64,11.87,Bottom,0.00
R25,25.64,37.87,Bottom,0.00
R34,76.64,37.87,Bottom,0.00
R43,25.64,63.87,Bottom,0.00
R52,76.64,63.87,Bottom,0.00
C2,25.64,15.04,Bottom,0.00
C7,76.64,15.04,Bottom,0.00
C13,25.64,41.04,Bottom,0.00
C19,76.64,41.04,Bottom,0.00
C25,25.64,67.04,Bottom,0.00
C31,76.64,67.04,Bottom,0.00
C1,16.11,20.00,Bottom,270.00
C3,9.92,15.04,Bottom,180.00
C4,12.94,12.24,Bottom,90.00
C5,30.08,8.69,Bottom,0.00
C6,15.16,3.93,Bottom,180.00
C8,66.16,3.93,Bottom,180.00
C9,60.92,15.04,Bottom,180.00
C10,67.11,20.00,Bottom,270.00
C11,63.94,12.24,Bottom,90.00
C12,81.08,8.69,Bottom,0.00
C14,15.16,29.93,Bottom,180.00
C15,9.92,41.04,Bottom,180.00
C16,16.11,46.00,Bottom,270.00
C17,12.94,38.24,Bottom,90.00
C18,30.08,34.69,Bottom,0.00
C20,66.16,29.93,Bottom,180.00
C21,60.92,41.04,Bottom,180.00
C22,67.11,46.00,Bottom,270.00
C23,63.94,38.24,Bottom,90.00
C24,81.08,34.69,Bottom,0.00
C26,15.16,55.93,Bottom,180.00
C27,9.92,67.04,Bottom,180.00
C28,16.11,72.00,Bottom,270.00
C29,12.94,64.24,Bottom,90.00
C30,30.08,60.69,Bottom,0.00
C32,66.16,55.93,Bottom,180.00
C33,60.92,67.04,Bottom,180.00
C34,67.11,72.00,Bottom,270.00
C35,63.94,64.24,Bottom,90.00
C36,81.08,60.69,Bottom,0.00
IC1,13.25,20.00,Bottom,0.00
IC4,64.25,20.00,Bottom,0.00
IC6,13.25,46.00,Bottom,0.00
IC8,64.25,46.00,Bottom,0.00
IC10,13.25,72.00,Bottom,0.00
IC12,64.25,72.00,Bottom,0.00
IC2,16.75,8.69,Bottom,0.00
IC3,67.75,8.69,Bottom,0.00
IC5,16.75,34.69,Bottom,0.00
IC7,67.75,34.69,Bottom,0.00
IC9,16.75,60.69,Bottom,0.00
IC11,67.75,60.69,Bottom,0.00
X2,32.55,4.66,Bottom,0.00
X4,83.55,4.66,Bottom,0.00
X6,32.55,30.66,Bottom,0.00
X8,83.55,30.66,Bottom,0.00
X10,32.55,56.66,Bottom,0.00
X12,83.55,56.66,Bottom,0.00
SW1,36.44,22.00,Bottom,0.00
SW2,87.44,22.00,Bottom,0.00
SW3,36.44,48.00,Bottom,0.00
SW4,87.44,48.00,Bottom,0.00
SW5,36.44,74.00,Bottom,0.00
SW6,87.44,74.00,Bottom,0.00